language,model,term,layer,proj,cosdiff
es,xlm-roberta-base,cantante,1,-0.4798308312892914,-0.010394692420959473
es,xlm-roberta-base,cantante,2,-1.421494960784912,-0.004041194915771484
es,xlm-roberta-base,cantante,3,-1.0249114036560059,-0.0027732253074645996
es,xlm-roberta-base,cantante,4,0.05387371778488159,0.004609048366546631
es,xlm-roberta-base,cantante,5,0.13230814039707184,0.002884089946746826
es,xlm-roberta-base,cantante,6,0.9332016706466675,0.0001328587532043457
es,xlm-roberta-base,cantante,7,1.2650200128555298,0.0019100308418273926
es,xlm-roberta-base,cantante,8,1.131339192390442,0.005298316478729248
es,xlm-roberta-base,cantante,9,2.1511118412017822,0.004495024681091309
es,xlm-roberta-base,cantante,10,0.3482051193714142,0.0003731250762939453
es,xlm-roberta-base,cantante,11,0.3626188635826111,0.00020176172256469727
es,xlm-roberta-base,cantante,12,0.014292523264884949,-0.00015592575073242188
es,xlm-roberta-base,juez,0,0.15889199078083038,0.02759745717048645
es,xlm-roberta-base,juez,1,-0.01633986458182335,0.011198341846466064
es,xlm-roberta-base,juez,2,-0.8652196526527405,0.00410085916519165
es,xlm-roberta-base,juez,3,-0.40575408935546875,0.003691554069519043
es,xlm-roberta-base,juez,4,0.45801103115081787,0.0103645920753479
es,xlm-roberta-base,juez,5,0.806354284286499,0.011183381080627441
es,xlm-roberta-base,juez,6,1.7049999237060547,0.010110139846801758
es,xlm-roberta-base,juez,7,1.9766002893447876,0.010084092617034912
es,xlm-roberta-base,juez,8,1.7785706520080566,0.01240849494934082
es,xlm-roberta-base,juez,9,2.5632991790771484,0.009338855743408203
es,xlm-roberta-base,juez,10,0.7525553107261658,0.0041092634201049805
es,xlm-roberta-base,juez,11,0.6687043905258179,0.0024920105934143066
es,xlm-roberta-base,juez,12,0.15452346205711365,0.00026428699493408203
es,xlm-roberta-base,dentista,0,-0.6427246928215027,-0.1081070750951767
es,xlm-roberta-base,dentista,1,-1.5326766967773438,-0.07052427530288696
es,xlm-roberta-base,dentista,2,-2.422445774078369,-0.021103978157043457
es,xlm-roberta-base,dentista,3,-1.5843110084533691,-0.00967550277709961
es,xlm-roberta-base,dentista,4,-0.628593921661377,-0.004247844219207764
es,xlm-roberta-base,dentista,5,-0.40675848722457886,-0.003318965435028076
es,xlm-roberta-base,dentista,6,0.9221224188804626,0.0002499222755432129
es,xlm-roberta-base,dentista,7,1.226635456085205,0.0016681551933288574
es,xlm-roberta-base,dentista,8,0.8836380243301392,0.0030680298805236816
es,xlm-roberta-base,dentista,9,2.075212001800537,0.0047310590744018555
es,xlm-roberta-base,dentista,10,0.6110500693321228,0.0028121471405029297
es,xlm-roberta-base,dentista,11,0.4699268937110901,0.0010527372360229492
es,xlm-roberta-base,dentista,12,0.010350659489631653,-0.00016814470291137695
es,xlm-roberta-base,estudiante,0,-0.03945023939013481,-0.004606664180755615
es,xlm-roberta-base,estudiante,1,-0.6395430564880371,-0.021444201469421387
es,xlm-roberta-base,estudiante,2,-1.5693182945251465,-0.007640480995178223
es,xlm-roberta-base,estudiante,3,-0.8184435963630676,-0.0006781220436096191
es,xlm-roberta-base,estudiante,4,0.21849863231182098,0.007109642028808594
es,xlm-roberta-base,estudiante,5,0.5054207444190979,0.00747913122177124
es,xlm-roberta-base,estudiante,6,1.5563933849334717,0.007721602916717529
es,xlm-roberta-base,estudiante,7,1.7992737293243408,0.0076683759689331055
es,xlm-roberta-base,estudiante,8,1.4167256355285645,0.008368611335754395
es,xlm-roberta-base,estudiante,9,2.4029300212860107,0.007731258869171143
es,xlm-roberta-base,estudiante,10,1.0112285614013672,0.006253242492675781
es,xlm-roberta-base,estudiante,11,0.962159276008606,0.00448077917098999
es,xlm-roberta-base,estudiante,12,0.16659757494926453,0.00030046701431274414
es,xlm-roberta-base,abogado,0,0.8698500394821167,0.09868764877319336
es,xlm-roberta-base,abogado,1,1.4703036546707153,0.07298868894577026
es,xlm-roberta-base,abogado,2,0.7853673100471497,0.033209800720214844
es,xlm-roberta-base,abogado,3,1.2568033933639526,0.022381484508514404
es,xlm-roberta-base,abogado,4,1.7751011848449707,0.026278436183929443
es,xlm-roberta-base,abogado,5,1.7373597621917725,0.02076554298400879
es,xlm-roberta-base,abogado,6,2.4190800189971924,0.01737082004547119
es,xlm-roberta-base,abogado,7,2.7241196632385254,0.017706215381622314
es,xlm-roberta-base,abogado,8,2.481039047241211,0.01920342445373535
es,xlm-roberta-base,abogado,9,3.477613925933838,0.017887771129608154
es,xlm-roberta-base,abogado,10,1.4982305765151978,0.010311543941497803
es,xlm-roberta-base,abogado,11,1.3339159488677979,0.007075786590576172
es,xlm-roberta-base,abogado,12,0.4437592923641205,0.0011316537857055664
es,xlm-roberta-base,agricultor,0,0.957658052444458,0.10999184846878052
es,xlm-roberta-base,agricultor,1,0.8644646406173706,0.04871770739555359
es,xlm-roberta-base,agricultor,2,0.35333171486854553,0.026440143585205078
es,xlm-roberta-base,agricultor,3,1.191701889038086,0.021664977073669434
es,xlm-roberta-base,agricultor,4,1.7881016731262207,0.025947391986846924
es,xlm-roberta-base,agricultor,5,1.4485443830490112,0.01717674732208252
es,xlm-roberta-base,agricultor,6,2.279961109161377,0.015399456024169922
es,xlm-roberta-base,agricultor,7,2.7227015495300293,0.01630312204360962
es,xlm-roberta-base,agricultor,8,2.4175539016723633,0.0173414945602417
es,xlm-roberta-base,agricultor,9,3.4548044204711914,0.01658099889755249
es,xlm-roberta-base,agricultor,10,1.5043234825134277,0.009888827800750732
es,xlm-roberta-base,agricultor,11,1.4297709465026855,0.007477462291717529
es,xlm-roberta-base,agricultor,12,0.4304378032684326,0.0010862350463867188
es,xlm-roberta-base,profesor,0,0.6483819484710693,0.07913163304328918
es,xlm-roberta-base,profesor,1,0.9690314531326294,0.05426791310310364
es,xlm-roberta-base,profesor,2,0.2228754758834839,0.025362730026245117
es,xlm-roberta-base,profesor,3,1.0074725151062012,0.019843101501464844
es,xlm-roberta-base,profesor,4,1.5693882703781128,0.023612260818481445
es,xlm-roberta-base,profesor,5,1.3720035552978516,0.016471505165100098
es,xlm-roberta-base,profesor,6,2.4040184020996094,0.01669365167617798
es,xlm-roberta-base,profesor,7,2.811244487762451,0.0171353816986084
es,xlm-roberta-base,profesor,8,2.7631077766418457,0.02078568935394287
es,xlm-roberta-base,profesor,9,3.4457104206085205,0.016552388668060303
es,xlm-roberta-base,profesor,10,1.6641592979431152,0.011361241340637207
es,xlm-roberta-base,profesor,11,1.855222225189209,0.010491669178009033
es,xlm-roberta-base,profesor,12,0.42580482363700867,0.0010739564895629883
es,xlm-roberta-base,mecánico,0,0.5490759611129761,0.11157289147377014
es,xlm-roberta-base,mecánico,1,0.28476253151893616,0.03093886375427246
es,xlm-roberta-base,mecánico,2,-0.7914977669715881,0.007211089134216309
es,xlm-roberta-base,mecánico,3,-0.3534080684185028,0.00473177433013916
es,xlm-roberta-base,mecánico,4,0.6452150940895081,0.013048112392425537
es,xlm-roberta-base,mecánico,5,0.812877893447876,0.011112093925476074
es,xlm-roberta-base,mecánico,6,1.938066840171814,0.012270629405975342
es,xlm-roberta-base,mecánico,7,2.0634677410125732,0.011256873607635498
es,xlm-roberta-base,mecánico,8,1.9469679594039917,0.01434469223022461
es,xlm-roberta-base,mecánico,9,2.941833257675171,0.014564335346221924
es,xlm-roberta-base,mecánico,10,1.3178993463516235,0.009310126304626465
